home_wins_5,home_draws_5,home_losses_5,home_gf_5,home_ga_5,away_wins_5,away_draws_5,away_losses_5,away_gf_5,away_ga_5,home_home_wins,home_home_draws,home_home_losses,away_away_wins,away_away_draws,away_away_losses,h2h_home_ratio,h2h_draw_ratio,elo_diff,elo_home_expected,home_pts_per_game,away_pts_per_game,result
1,2,2,5,8,2,1,2,5,9,2,1,0,2,0,1,0.45,0.27,-27.38,0.603,1.3333,1.6667,1
2,1,2,7,5,2,2,1,11,9,2,0,1,0,1,1,0.45,0.27,9.19,0.6522,1.6667,1.5,2
0,2,3,1,6,4,0,1,10,7,0,1,1,2,0,1,0.45,0.27,-110.3,0.4852,0.4,2.4,2
0,0,5,0,13,0,3,2,4,9,0,0,3,0,1,1,0.45,0.27,-39.68,0.5859,0.0,0.6,0
2,1,2,4,5,3,0,2,10,5,1,1,0,1,0,2,0.45,0.27,-42.77,0.5816,1.4,1.8,2
5,0,0,14,1,2,0,3,9,11,3,0,0,0,0,2,0.45,0.27,113.36,0.7735,3.0,1.2,2
1,1,3,5,8,2,2,1,6,5,0,1,1,1,0,1,0.45,0.27,-46.23,0.5768,0.8,1.6,0
2,2,1,8,5,0,3,2,1,6,1,0,1,0,2,0,0.45,0.27,82.88,0.7413,1.6,0.6,0
1,1,3,6,8,2,0,3,5,8,0,0,3,0,0,3,0.45,0.27,-5.79,0.6324,0.6667,1.0,1
1,0,4,8,14,1,2,2,4,10,1,0,2,1,0,2,0.45,0.27,-70.97,0.5417,0.5,1.3333,1
1,1,3,5,8,3,1,1,13,5,0,1,2,1,1,1,0.45,0.27,-75.25,0.5356,1.1667,2.0,2
2,2,1,8,7,3,1,1,11,9,2,0,1,2,0,1,0.45,0.27,-45.12,0.5783,1.6,2.0,1
1,2,2,4,7,1,3,1,3,4,1,1,0,0,2,0,0.45,0.27,-6.93,0.6308,1.0,1.2,1
1,1,3,4,8,1,2,2,12,7,0,1,1,0,1,1,0.45,0.27,-28.95,0.6008,0.8,1.0,0
4,0,1,12,6,3,2,0,9,5,1,0,1,1,1,0,0.45,0.27,25.66,0.6733,2.4,2.2,2
2,1,2,5,7,1,1,3,4,9,2,1,0,0,0,3,0.45,0.27,59.95,0.7152,1.6667,0.6667,2
4,1,0,16,8,2,1,2,10,7,3,0,0,0,1,1,0.45,0.27,99.51,0.7592,2.4286,1.1667,0
3,0,2,7,6,1,4,0,4,3,2,0,0,0,2,0,0.45,0.27,11.52,0.6552,1.8,1.4,0
0,1,4,4,14,4,1,0,17,6,0,1,1,1,1,0,0.45,0.27,-161.91,0.4118,0.2,2.6,2
0,1,4,4,9,4,0,1,17,7,0,0,2,1,0,1,0.45,0.27,-120.94,0.4699,0.2,2.4,2
0,3,2,4,16,0,2,3,8,13,0,2,0,0,2,0,0.45,0.27,22.98,0.6699,0.6,0.4,2
1,1,3,9,13,2,0,3,9,9,1,0,1,1,0,1,0.45,0.27,-3.69,0.6352,0.8,1.2,0
4,0,1,14,4,4,1,0,18,4,2,0,0,2,0,0,0.45,0.27,3.47,0.6447,2.4,2.6,1
0,1,4,3,8,3,1,1,14,6,0,0,3,1,1,0,0.45,0.27,-133.8,0.4515,0.1667,1.8333,1
2,2,1,11,6,1,3,1,5,7,2,0,1,0,2,1,0.45,0.27,36.69,0.6872,1.8333,1.5,0
2,1,2,10,10,1,1,3,8,11,2,1,0,1,1,1,0.45,0.27,24.03,0.6713,1.1429,1.0,1
1,2,2,3,9,1,2,2,8,10,1,1,1,1,0,2,0.45,0.27,43.89,0.696,1.5714,0.8571,1
5,0,0,14,7,4,0,1,8,5,3,0,0,2,0,1,0.45,0.27,21.55,0.6681,2.7143,2.5714,2
3,1,1,11,8,3,2,0,11,4,2,1,0,2,1,0,0.45,0.27,-28.3,0.6017,1.7143,2.0,0
4,0,1,11,5,4,0,1,14,7,2,0,0,2,0,0,0.45,0.27,-29.58,0.6,2.0,2.5,0
0,2,3,4,10,3,2,0,9,5,0,2,1,2,0,0,0.45,0.27,-110.9,0.4843,0.5,2.3333,2
1,1,3,5,9,0,1,4,3,11,0,0,3,0,0,3,0.45,0.27,34.04,0.6839,0.6667,0.2,2
2,0,3,6,10,1,2,2,5,7,2,0,1,1,1,1,0.45,0.27,-12.6,0.6232,1.5,1.3333,2
2,0,3,11,6,0,1,4,4,13,2,0,1,0,1,0,0.45,0.27,120.99,0.7811,1.5,0.2,0
3,0,2,10,9,0,1,4,5,16,1,0,1,0,0,2,0.45,0.27,117.97,0.7781,1.6667,0.1667,0
1,1,3,6,11,5,0,0,13,3,0,0,2,3,0,0,0.45,0.27,-174.79,0.394,0.6667,3.0,0
4,1,0,13,5,5,0,0,14,4,2,0,0,2,1,0,0.45,0.27,-12.26,0.6236,2.3333,2.6667,0
2,2,1,6,4,2,2,1,9,5,3,0,0,1,2,0,0.45,0.27,-8.14,0.6292,1.8333,1.8333,2
4,0,1,11,8,2,1,2,6,6,2,0,0,1,0,2,0.45,0.27,85.95,0.7447,2.5,1.1667,0
0,2,3,2,8,4,0,1,13,3,0,2,1,2,0,0,0.45,0.27,-142.66,0.4389,0.5,2.5,2
0,1,4,6,16,2,0,3,8,10,0,1,1,0,0,2,0.45,0.27,-43.93,0.58,0.2,1.2,0
2,1,2,5,10,1,2,2,9,13,1,0,1,0,0,2,0.45,0.27,11.2,0.6548,1.4,1.0,0
3,1,1,10,6,0,2,3,2,9,1,0,1,0,1,2,0.45,0.27,118.34,0.7785,1.6667,0.3333,0
2,2,1,8,5,2,1,2,7,8,2,0,1,0,2,1,0.45,0.27,26.92,0.6749,1.5,1.3333,2
0,3,2,4,7,2,2,1,6,5,0,2,0,2,0,1,0.45,0.27,-9.37,0.6275,1.0,1.3333,0
3,2,0,7,3,3,1,1,5,4,1,2,0,2,0,1,0.45,0.27,17.83,0.6634,2.0,2.1667,1
1,2,2,10,12,1,2,2,7,7,1,2,0,1,1,1,0.45,0.27,-9.34,0.6276,1.0,1.0,2
0,5,0,5,5,2,2,1,10,9,1,2,0,1,0,1,0.45,0.27,20.31,0.6665,1.3333,1.3333,0
0,2,3,7,13,1,1,3,9,13,0,1,2,0,0,3,0.45,0.27,-14.13,0.6211,0.2857,0.5714,1
1,1,3,2,6,1,1,3,5,8,2,0,1,2,0,1,0.45,0.27,4.97,0.6466,1.0,1.0,2
3,1,1,12,4,1,3,1,5,6,2,0,0,0,1,2,0.45,0.27,94.96,0.7544,2.1667,1.2857,0
1,2,2,5,11,1,1,3,6,6,1,2,0,1,1,1,0.45,0.27,-10.46,0.6261,1.2857,1.4286,0
2,1,2,6,7,1,2,2,7,7,1,1,0,1,0,1,0.45,0.27,18.45,0.6641,1.1667,1.0,1
1,4,0,3,2,1,0,4,1,12,1,1,1,0,0,2,0.45,0.27,75.64,0.7332,1.1667,0.5,0
0,3,2,2,7,2,1,2,7,5,0,1,2,1,0,2,0.45,0.27,-55.74,0.5633,0.5,1.1667,1
3,0,2,9,5,3,1,1,9,6,2,0,0,2,0,1,0.45,0.27,-0.56,0.6393,2.0,2.1667,1
1,1,3,11,9,2,3,0,8,5,1,1,1,0,2,0,0.45,0.27,-34.55,0.5931,0.8333,1.5,0
1,1,3,1,4,1,1,3,6,8,1,2,0,1,1,1,0.45,0.27,12.0,0.6558,0.7143,0.7143,0
1,2,2,4,10,1,1,3,4,5,1,0,1,0,1,1,0.45,0.27,26.37,0.6742,1.3333,0.8333,2
3,0,2,11,10,1,3,1,4,5,2,0,1,0,1,2,0.45,0.27,31.64,0.6809,1.5,1.0,2
2,1,2,6,7,1,1,3,3,6,1,2,0,1,0,2,0.45,0.27,23.68,0.6708,1.3333,1.1667,1
2,2,1,8,9,0,1,4,2,9,1,1,0,0,1,2,0.45,0.27,131.63,0.7914,1.8333,0.3333,0
1,1,3,4,8,0,1,4,4,12,0,1,1,0,1,1,0.45,0.27,62.65,0.7184,0.6667,0.1667,2
1,1,3,7,10,0,1,4,3,13,0,0,3,0,0,3,0.45,0.27,77.57,0.7354,0.8333,0.1667,1
2,1,2,5,5,2,2,1,11,10,1,1,1,1,0,2,0.45,0.27,3.3,0.6444,1.4286,1.1429,2
2,2,1,7,5,0,2,3,9,15,2,1,0,0,1,2,0.45,0.27,140.64,0.7998,1.75,0.375,0
1,0,4,1,13,0,3,2,3,8,1,0,2,0,2,1,0.45,0.27,-23.37,0.6085,0.4286,0.5714,1
2,1,2,4,6,3,0,2,11,9,2,0,1,1,0,2,0.45,0.27,8.74,0.6516,1.5714,1.2857,1
3,2,0,11,6,1,0,4,5,9,2,1,0,1,0,2,0.45,0.27,118.29,0.7784,2.3333,1.0,0
4,1,0,14,3,0,3,2,5,14,2,1,0,0,1,2,0.45,0.27,144.42,0.8033,2.1667,0.5,1
1,1,3,5,11,1,1,3,10,17,1,2,0,0,0,3,0.45,0.27,8.42,0.6512,0.8333,0.6667,2
4,0,1,14,7,3,0,2,7,6,3,0,0,1,0,2,0.45,0.27,46.45,0.6991,2.5,2.0,0
2,0,3,10,10,4,0,1,12,7,2,0,1,3,0,0,0.45,0.27,-93.29,0.5097,1.0,2.0,2
2,1,2,4,6,3,2,0,6,2,0,2,1,2,1,0,0.45,0.27,-80.99,0.5273,1.1429,1.8571,2
3,1,1,10,6,2,2,1,11,8,2,0,1,1,2,0,0.45,0.27,-5.65,0.6325,1.8571,2.0,2
1,2,2,6,8,4,0,1,12,9,1,2,0,3,0,0,0.45,0.27,-86.58,0.5193,1.125,2.375,2
4,0,1,10,5,1,1,3,5,7,3,0,0,2,0,1,0.45,0.27,132.66,0.7924,2.625,1.25,0
1,3,1,8,9,1,1,3,5,7,0,2,1,0,1,2,0.45,0.27,3.59,0.6448,0.875,1.25,1
